name,date,event,role,fee
Suhana Meharchand,2014-09-24,Women's Legal Education Persons Day Breakfast,Host,Unpaid
Gloria Macarenko,2014-09-23,Chor Leoni Men's Choir Fundraiser,Host,Unpaid
Evan Solomon,2014-09-23,International Council of Shopping Centers Panel,Moderator,Paid
Hance Colburne,2014-09-23,Saint John Community Arts Board Awards,Host,Unpaid
Frank Cavallaro,2014-09-22,Concordia University Golf Classic,Host,Unpaid
Bruce Rainnie,2014-09-22,Holland College Journalism class,Lecturer,Unpaid
Amanda Lang,2014-09-22,National Insurance Conference,Host,Paid
Laurence Wall,2014-09-21,Annual General Meeting: Friends of the NAC Orchestra,Host,Unpaid
Portia Clark,2014-09-21,Day of Peace Celebration - Mahatma Ghandi Foundation,Host,Unpaid
Leisha Grebinski,2014-09-21,Word on the Street,Speech,Unpaid
Marivel Taruc,2014-09-21,Word On The Street,Host,Unpaid
Jonathan Pinto,2014-09-20,Windsor Women Working with Immigrant Women Annual Banquet,Host,Unpaid
Jeanette Kelly,2014-09-20,POP Montreal: Henri-Pierre Noel Concert,Host,Unpaid
Louise Renault,2014-09-20,Lunenburg Art Auction,Host,Paid
Matt Rainnie,2014-09-20,Communities in Bloom,Host,Unpaid
Jay Legere,2014-09-20,Relay for Life,Host,Expenses
David Gray,2014-09-19,Peter Gzowski Golf Tournament,Host,Unpaid
Dianne Buckner,2014-09-19,CSN Collision Centres Annual Conference,Keynote,Paid
Peter Mansbridge,2014-09-19,St. John NB Heart Centre Gala,Speech,Paid
Robin Brown,2014-09-18,Brain Injury Association of Windsor Essex Workshop,Host,Unpaid
John Sauder,2014-09-18,St. Andrews School,Lecture,Unpaid
Steven D’Souza,2014-09-18,Urban Alliance on Race Relations Awards Dinner,Host,Unpaid
Laurie Fagan,2014-09-18,Ottawa Kitchissipi Ward All Candidates Debate,Moderator,Unpaid
Evan Solomon,2014-09-18,Opening : Canadian Museum of Human Rights,Host,Expenses
Ian Hanomansing,2014-09-17,Young Presidents Organization Spark,Moderator,Paid
David Gray,2014-09-16,Team Tamara YYC,Host,Unpaid
Julie Ireton,2014-09-16,Carleton School of Public Policy & Administration,Moderator,Unpaid
Bill Roach,2014-09-16,Geeks vs. Nerds,Host,Unpaid
Peter Mansbridge,2014-09-16,Oakville Chamber of Commerence Annual Chair's Dinner,Speech,Paid
Amanda Lang,2014-09-16,Osgoode Law School Alternative Dispute Resolution course,Lecture,Unpaid
Amanda Lang,2014-09-15,RIMS Canada Conference,Speech,Paid
Jillian Taylor,2014-09-14,Manito Ahbee Pow Wow Awards,Appearance,Unpaid
Laurence Wall,2014-09-13,Concert: Pianist Mauro Bertoli and cellist Paul Marleyn,Host,Unpaid
Amanda Lang,2014-09-12,"Banff Forum, Saskatoon",Moderator,Unpaid
Doug Dirks,2014-09-11,Canadian Mental Health Association Golf Tournament,Host,Unpaid
Michael Serapio,2014-09-11,Leaders to be Proud of Awards,Host,Unpaid
Marcy Markusa,2014-09-10,2014 Power of Humanity Luncheon - Red Cross,Host,Expenses
Gloria Macarenko,2014-09-09,UBC Alumni Dialogue - 'Why Aren't There More Women in Leadership Roles?',Moderator,Unpaid
Mitch Cormier,2014-09-09,Chef on Board,Host,Unpaid
Peter Mansbridge,2014-09-09,Canadian Tax Leaders' Forum,Moderator,Paid
Anthony Germain,2014-09-08,Best In Business Awards,Presenter,Unpaid
Matt Rainnie,2014-09-07,Soupfest Fundraiser,Host,Unpaid
Omar Dabaghi-Pacheco,2014-09-06,Ride The Rideau for Ottawa Hospital Foundation,Host,Unpaid
Krissy Holmes,2014-09-06,Heavenly Creatures Silent Auction & Dinner,Host,Unpaid
Cory Edel,2014-09-05,Open Road Recordings CCMA party,Host,Unpaid
Adrienne Pan,2014-09-05,Open Road Recordings CCMA party,Host,Unpaid
Lucy van Oldenbarneveld,2014-09-03,Yuk Yuk Comedy : Final Comedy Showdown,Host,Unpaid
Laura Lynch,2014-09-03,Salt Spring Forum,Speech,Unpaid
Laura Payton,2014-09-02,Carleton University School of Journalism: Orientation Session,Panelist,Expenses
Susan Lunn,2014-09-01,University of Ottawa: Health Reporting in the Media,Lecture,Unpaid
Adrienne Pan,2014-08-28,Easter Seals Drop Zone - Rappel off of Sutton Place Hotel,Appearance,Unpaid
Stephanie Domet,2014-08-28,People Who Love Library,Reading,Unpaid
Sonali Karnick,2014-08-23,India's 68th Independence Day Banquet,Host,Unpaid
Blair Rhodes,2014-08-22,Canadian Association of Police Governance,Panelist,Unpaid
Amanda Lang,2014-08-19,Association of Municipalities of Ontario Annual Conference,Speech,Paid
Adam Walsh,2014-08-19,Girls on the Green Golf Tournament,Appearance,Unpaid
Zach Goudie,2014-08-19,Girls on the Green Golf Tournament,Appearance,Unpaid
Peter Mansbridge,2014-08-18,Junior Achievement of Canada,Speech,Unpaid
Kim Trynacity,2014-08-18,Ukrainian Canadian Congress - PC Leadership debate,Host,Unpaid
Frank Cavallaro,2014-08-17,Montreal's Italian Week,Judge,Unpaid
Scott Peterson,2014-08-17,Canadian Medical Association Conference,Moderator,Unpaid
Wendy Bergfeldt,2014-08-17,Cape Breton Fiddlers' Association Concert,Host,Unpaid
Sabrina Marandola,2014-08-16,Montreal's Italian Week,Host,Unpaid
Asha Tomlinson,2014-08-16,Windsor Rib Fest,Host,Unpaid
Peter Duck,2014-08-16,Windsor Rib Fest,Judge,Unpaid
Rebecca Zandbergen,2014-08-15,Salmon Arm Roots and Blues Festival,Host,Unpaid
Dani Mario,2014-08-15,Saskatoon Food Council Celebration,Host,Unpaid
Chris Walker,2014-08-15,Salmon Arm Roots and Blues Festival,Host,Unpaid
Ismaila Alfa,2014-08-15,MEME Festival (Manitoba Electronic Music Exhibition),Host,Unpaid
Robert Mersereau,2014-08-15,Larlee Creek Creek Hullabaloo,Host,Unpaid
Mark Connolly,2014-08-13,Red Cross - Disaster Dining Challenge,Appearance,Unpaid
Wendy Bergfeldt,2014-08-13,Cape Breton Milk Producers' Association,Appearance,Unpaid
Laurence Wall,2014-08-11,Autism Ontario Conference,Speech,Unpaid
Adrian Harewood,2014-08-10,National Youth Orchestra of Jamaica,Host,Unpaid
Stan Carew,2014-08-10,Lunenburg Folk Harbour Society,Host,Unpaid
Mariel Borelli,2014-08-09,Harbourfront Centre - Expressions of Brazil,Host,Unpaid
Stephanie Domet,2014-08-09,Lunenburg Folk Harbour Society,Host,Unpaid
Amanda Lang,2014-08-07,Manulife Asset Management Seminar,Moderator,Paid
Laurence Wall,2014-08-07,Ottawa Chamberfest: Closing Night : The Brandenburg Concertos,Host,Unpaid
Laurence Wall,2014-08-06,Ottawa Chamberfest: Gryphon Trio in Concert,Host,Unpaid
Laurence Wall,2014-08-05,National Youth Orchestra of Jamaica,Host,Unpaid
Laurence Wall,2014-08-04,Ottawa Chamberfest: The Brodsky Quartet,Host,Unpaid
Portia Clark,2014-08-04,Servus Heritage Festival,Appearance,Unpaid
Dwight Drummond,2014-08-02,Harbourfront Centre - Island Soul Festival,Host,Unpaid
Portia Clark,2014-08-02,Servus Heritage Festival,Appearance,Unpaid
Laurence Wall,2014-08-01,Ottawa Chamberfest: An Evening with Janina Fialkowska,Host,Unpaid
Laurence Wall,2014-07-29,Ottawa Chamberfest: Sondra Radvanovsky in Recital,Host,Unpaid
Ismaila Alfa,2014-07-28,Winnipeg Goldeyes Baseball Club All-Star Event for Northern League,Appearance,Unpaid
Vic Istchenko,2014-07-28,Peter Gzowski Invitational Golf Tournament,Host,Unpaid
Sandi Coleman,2014-07-28,Peter Gzowski Invitational Golf Tournament,Host,Unpaid
Laurence Wall,2014-07-28,Ottawa Chamberfest: En Blanc et Noir : A WWI Piano Commemorative,Host,Unpaid
Mark Connolly,2014-07-27,Alberta Basketball Sports Banquet,Host,Paid
Adrian Harewood,2014-07-26,Ottawa Chamberfest: Soledad with Manu Comté,Host,Unpaid
Adrian Harewood,2014-07-24,Ottawa Chamberfest: Opening Night with Brentano String Quartet,Host,Unpaid
Jacques Poitras,2014-07-22,Maine Humanities Council - The Acadian Experience in Maine,Speech,Paid
Kamil Kamalari,2014-07-21,World Partnership Golf Tournament,Host,Unpaid
Jacques Poitras,2014-07-21,Woodie Wheaton Land Trust Summer Speaker Series,Speech,Unpaid
Renee Filippone,2014-07-20,S.U.C.C.E.S.S Foundation's 'Walk with the Dragon' Walk,Host,Unpaid
Mariel Borelli,2014-07-20,Salsa on St. Clair,Host,Unpaid
Margaret Gallagher,2014-07-20,Vancouver Folk Music Festival,Host,Unpaid
Wendy Bergfeldt,2014-07-20,50th anniversary of Big Pond Festival Concert,Announcer,Unpaid
Dwight Drummond,2014-07-20,Salsa on St. Clair,Host,Unpaid
Jack Julian,2014-07-20,2b Theatre Company BBQ,Host,Unpaid
Miyoung Lee,2014-07-19,City of Surrey Fusion Festival: Bruce Cockburn concert,Host,Unpaid
Nana Aba Duncan,2014-07-19,Harbourfront Centre - Habari Africa Festival,Host,Unpaid
Mary Ito,2014-07-19,Salsa on St. Clair,Host,Unpaid
Adrian Harewood,2014-07-15,Carleton University International Summit on Accessibility Lunch,Host,Unpaid
Laurence Wall,2014-07-15,Ottawa Music and Beyond Festival : Oliver Jones,Host,Unpaid
Hance Colburne,2014-07-15,Heart & Stroke Foundation Golf for Heart Dinner,Host,Unpaid
Dwight Drummond,2014-07-13,CIBC Soccer Nation,Host,Unpaid
Mariel Borelli,2014-07-13,CIBC Soccer Nation,Host,Unpaid
Adrian Harewood,2014-07-13,Carleton University International Summit on Accessibility Mental Health Workshop,Host,Unpaid
Steven D’Souza,2014-07-12,CIBC Soccer Nation,Host,Unpaid
Rich Terfry,2014-07-12,CIBC Soccer Nation,Host,Unpaid
Mitch Cormer,2014-07-12,Diverse City 2014,Host,Unpaid
Laurence Wall,2014-07-11,Ottawa Music and Beyond Festival: Vienna Piano,Host,Unpaid
Steve Sutherland,2014-07-11,TEDx Cape Breton,Host,Unpaid
Miyoung Lee,2014-07-10,Peekaboo Beans Working Mom's Workshop,Host,Unpaid
Amanda Lang,2014-07-10,Manulife Asset Management Seminar,Moderator,Paid
Joanna Awa,2014-07-09,Nunavut Day Celebrations,Host,Unpaid
Gill Deacon,2014-07-09,Harbourfront Centre - Free Flicks,Host,Unpaid
Matt Galloway,2014-07-09,TIFF Food on Film series (6 of 6),Host,Unpaid
Bernard St-Laurent,2014-07-09,McGill University Health Centre Panel Discussion,Moderator,Unpaid
Laurence Wall,2014-07-09,Ottawa Music and Beyond Festival: Comedy duo Igudesman and Joo,Host,Unpaid
Dianne Buckner,2014-07-09,Probus Club of Guildwood,Speech,Unpaid
Laurence Wall,2014-07-08,Ottawa Music and Beyond Festival: Auryn Quartet,Host,Unpaid
Laurence Wall,2014-07-06,Ottawa Music and Beyond Festival: New Orford Quartet,Host,Unpaid
Rebecca Zandbergen,2014-07-06,Kelowna Running Club Race,Host,Unpaid
Alan Neal,2014-07-06,Ottawa Little Theatre: Afternoon with Dan Ackroyd,Moderator,Unpaid
Carolina de Ryk,2014-07-05,Smithers Midsummer Music Festival,Host,Unpaid
Mark Connolly,2014-07-05,Edmonton International Track Classic,Host,Paid
Marcus Scwabe,2014-07-04,Northern Lights Festival Boreal,Host,Unpaid
Matt Rainnie,2014-07-03,Special Olympics PEI,Host,Unpaid
Johanna Wagstaffe,2014-07-03,Indian Summer Festival - Opening Gala,Host,Unpaid
Loren McGinnis,2014-07-01,Canada Day Rotary parade,Judge,Unpaid
Portia Clark,2014-07-01,Canada Day at the Alberta Legislature,Host,Unpaid
Lucy van Oldenbarneveld,2014-07-01,CBC Canada Day Songriters' Circle,Host,Unpaid
Laurence Wall,2014-06-30,Ottawa Jazz Festival : Chrisitan McBride,Host,Unpaid
Frank Cavallaro,2014-06-30,"Montreal Jazz Festival: Earth, Wind & Fire Concert",Host,Unpaid
Rick Cluff,2014-06-29,World Oyster Shucking Invitational Competiton,Host,Unpaid
Lucy van Oldenbarneveld,2014-06-28,Ottawa Jazz Festival: Aretha Franklin Concert,Host,Unpaid
Sandi Coleman,2014-06-28,Peter Gzowki Invitational Golf Tournament,Host,Unpaid
Tom Harrington,2014-06-28,Peter Gzowski Invitational Golf Tournament for Literacy (Whitehorse),Host,Expenses
Laurence Wall,2014-06-27,Ottawa Jazz Festival : Newport Jazz Festival,Host,Unpaid
Don Bell,2014-06-27,Norquest College Canada Day celebration,Host,Unpaid
Miyoung Lee,2014-06-26,Top 25 Canadian Immigrant Awards,Host,Unpaid
Amanda Lang,2014-06-26,Manulife Asset Management Seminar,Moderator,Paid
Lucy van Oldenbarneveld,2014-06-26,Ottawa Jazz Festival: Earth Wind & Fire Concert,Host,Unpaid
Doug Dirks,2014-06-25,University of Calgary Chancellors Golf Tournament,Host,Unpaid
Laurence Wall,2014-06-25,Ottawa Jazz Festival: Diane Reeves Concert,Host,Unpaid
Jo-Ann Roberts Kelly,2014-06-25,Victoria International Jazz Festival: Jill Barber in Concert,Host,Unpaid
Nil Köksal,2014-06-24,RBC Top 25 Canadian Immigrants Awards,Host,Unpaid
Colin Butler,2014-06-24,Western University,Speech,Paid
Laurence Wall,2014-06-24,Ottawa Jazz Festival : Socalled,Host,Unpaid
Lucy van Oldenbarneveld,2014-06-24,Ottawa Jazz Festival: Reeves Concert,Host,Unpaid
Laurence Wall,2014-06-24,Ottawa Jazz Festival : Bill Frisell,Host,Unpaid
Jonathan Crowe,2014-06-24,Southcott Awards,Host,Unpaid
Lucy van Oldenbarneveld,2014-06-24,Ottawa Jazz Festival: Holly Cole Concert,Host,Unpaid
Michael Serapio,2014-06-24,World Pride Human Rights Conference,Moderator,Unpaid
Doug Dirks,2014-06-23,Energy for Friends Golf Tournament,Host,Unpaid
Loren McGinnis,2014-06-23,Western Arctic Moving Pictures Music Video Competition,Host,Unpaid
Lucy van Oldenbarneveld,2014-06-23,Ottawa Jazz Festival: Tedeschi Trucks Band Concert,Host,Unpaid
Wendy Mesley,2014-06-23,Alzheimer Society of Dufferin County Conference,Host,Unpaid
Asha Tomlinson,2014-06-22,Black Butterfly Black Monarch Graduation,Speech,Unpaid
Lucy van Oldenbarneveld,2014-06-22,Ottawa Jazz Festival: Steve Martin Concert,Host,Unpaid
Stephanie Domet,2014-06-22,Magnetic North Theatre Festival,Moderator,Unpaid
Tom Harrington,2014-06-22,Healing Cycle Foundaton Ride,Host,Unpaid
Min Dhariwal,2014-06-21,CBC - Soccer Nation,Host,Unpaid
Loren McGinnis,2014-06-21,Edge YK Solstice Slam Concert,Host,Unpaid
Craig Norris,2014-06-21,Kitchener-Waterloo Multicultural Festival,Host,Unpaid
Tony Doucette,2014-06-20,Windsor Essex Economic Development Corporation AGM,Host,Unpaid
Sonali Karnick,2014-06-20,Montreal Folk Festival on the Canal Concert Series,Host,Unpaid
Adrian Harewood,2014-06-20,Ottawa Jazz Festival: Richa Sharma Concert,Host,Unpaid
Evan Solomon,2014-06-20,TED Talk,Speech,Unpaid
Harry Forestell,2014-06-20,St. Malachy's High School Graduation,Speech,Unpaid
Peter Mansbridge,2014-06-20,Canadian Association of Recycling Industries Convention,Speech,Paid
Diana Swain,2014-06-20,Oakville Relay for Life Run 2014,Host,Unpaid
Susan Ormiston,2014-06-20,Crescent School Toronto TEDX,Speech,Unpaid
Lisa MacGregor,2014-06-19,University of Alberta Women Fore Pandas Golf Tournament,Host,Unpaid
Cam MacIntosh,2014-06-19,World Indigenous Television Broadcasters Kanata Conference,Panelist,Unpaid
Duncan McCue,2014-06-18,"Film Screening ""The Lesser Blessed""",Moderator,Unpaid
Chris Walker,2014-06-18,UBC Dialogues: Okanagan,Moderator,Unpaid
Matt Galloway,2014-06-18,Toronto International Film Festival Food on Film Series,Host,Unpaid
Matt Galloway,2014-06-18,Toronto Community Foundation Vital Toronto Celebration,Host,Unpaid
Evan Solomon,2014-06-18,Canadian Nurses Association Convention,Speech,Paid
Chris O’Neill-Yates,2014-06-18,CPRS - NL Media Panel (Professional Development Session),Panelist,Unpaid
Bob Mersereau,2014-06-18,Six String Nation,Host,Unpaid
Peter Mansbridge,2014-06-18,TECTERRA Geomatics Showcase,Speech,Paid
Tom Harrington,2014-06-18,Peter Gzowski Invitational Golf Tournament for Literacy (Chester NS),Host,Expenses
Heather Hiscox,2014-06-18,Woodstock Women's Probus Club,Speech,Paid
Heather Hiscox,2014-06-17,Trillium Book Awards Presentation,Host,Paid
Mitch Cormer,2014-06-17,Serenade to Spring Dinner (PEI Symphony),Host,Unpaid
Heather Hiscox,2014-06-16,Trillium Book Awards Public Reading,Host,Paid
Carolina de Ryk,2014-06-15,Seafest - Prince Rupert,Host,Unpaid
Dave Brown,2014-06-15,Ottawa Westfest : Tribe Called Red Concert,Host,Unpaid
Shane Foxman,2014-06-14,Soccer Nation,Host,Unpaid
Renee Filippone,2014-06-14,CBC Music Festival,Host,Unpaid
Gloria Macarenko,2014-06-14,CBC Music Festival,Host,Unpaid
Stephen Quinn,2014-06-14,CBC Music Festival,Host,Unpaid
Adrian Harewood,2014-06-13,Westfest: River City Junction and George Leach Concerts,Host,Unpaid
Matt Rainnie,2014-06-13,Peter Gzowski Invitational Golf Tournament for Literacy,Host,Unpaid
Peter Mansbridge,2014-06-13,CBC - University of Winnipeg Investigative Journalism Conference,Speech,Unpaid
Loren McGinnis,2014-06-12,Canadian Cancer Society Relay for Life,Host,Unpaid
Ismaila Alfa,2014-06-12,TedEX Manitoba 2014,Host,Unpaid
Mary Ito,2014-06-12,Barbra Schlifer Tribute & Award,Host,Unpaid
Tom Harrington,2014-06-12,Memorial University Alumni Toronto Affinity Celebration,Host,Unpaid
David Gray,2014-06-11,International Energy Capital Forum,Host,Unpaid
Anne-Marie Mediwake,2014-06-11,United Way York Region Building Industry Luncheon,Host,Unpaid
Matt Galloway,2014-06-11,YorkTown Family Services Dinner,Host,Unpaid
Matt Rainnie,2014-06-11,"14 Books, One Island Launch",Host,Unpaid
Chris O’Neill-Yates,2014-06-11,Peter Gzowski Invitational NL Children's Literacy Festival,Reading,Unpaid
Cecil Haire,2014-06-11,Peter Gzowski Invitational NL Children's Literacy Festival,Reading,Unpaid
Peter Mansbridge,2014-06-11,Carleton University Convocation Address,Speech,Unpaid
Jo-Ann Roberts Kelly,2014-06-10,Peter Gzowski Invitational Night Before at the Belfry,Host,Unpaid
Renee Filippone,2014-06-10,UBC Alumni Women in Business Panel,Moderator,Unpaid
Lucy van Oldenbarneveld,2014-06-10,Ottawa Hospital Foundation: The View on Women's Health,Moderator,Unpaid
Michael Serapio,2014-06-09,Counselling Foundation of Canada Annual General Meeting,Moderator,Unpaid
Shari Okeke,2014-06-08,Margaret Manson Elementary School Career Week,Speech,Unpaid
Steve Sutherland,2014-06-08,Second Wind Band 20th Anniversary Concert,Host,Unpaid
Frank Cavallaro,2014-06-08,Monkland Village Grand Prix Festival,Host,Unpaid
Mark Connolly,2014-06-07,Bobsleigh Canada Luncheon,Host,Unpaid
Mitch Cormier,2014-06-07,PEI Symphony Serenade to Spring Dinner,Host,Unpaid
Matt Galloway,2014-06-07,Dundas West Fest Lulaworld Stage,Host,Unpaid
Rick Cluff,2014-06-06,BC Law Society Benevolent Association Battle of the Bands,Host,Unpaid
Joanna Awa,2014-06-06,Inuksuk High School graduation,Host,Unpaid
Rosa Marchitelli,2014-06-06,Canadian Olympic Commission Parade of Champions,Host,Unpaid
Doug Dirks,2014-06-06,Canadian Olympic Commission Parade of Champions,Host,Unpaid
Dave Brown,2014-06-06,Upstream Ottawa Charity Gold Tournament,Host,Unpaid
Don Connolly,2014-06-06,Canadian Association for University Continuing Education Annual Conference,Moderator,Unpaid
Mark Connolly,2014-06-05,Olympic Heroes Tour,Host,Paid
Doug Dirks,2014-06-05,Stars & Lions Golf Tournament,Host,Unpaid
Gregor Craigie,2014-06-05,UBC Dialogues: Victoria,Moderator,Unpaid
Joanna Awa,2014-06-05,Nunavut Arctic College Graduation,Host,Unpaid
Randy Henderson,2014-06-05,Northwords Writers Festival,Host,Unpaid
Allison Devereaux,2014-06-05,Northwords Writers Festival,Host,Unpaid
Lisa Laco,2014-06-05,Northern Ontario Business - Influential Women of Northern Ontario,Host,Unpaid
Hance Colburne,2014-06-05,Saint John Rotary Club 100th Anniversary Gala,Host,Unpaid
Evan Solomon,2014-06-05,EcoLiving Awards,Speech,Paid
Bruce Rainnie,2014-06-04,Andrews of Charlottetown Seniors' Living Community,Appearance,Unpaid
Carole MacNeil,2014-06-03,The Panel: Debate on Economic Diplomacy,Moderator,Unpaid
Diana Swain,2014-06-03,Kerr Street Ministries Fundrasier,Moderator,Unpaid
Dan Burritt,2014-06-02,Richmond Hospital Foundation Golf Tournament,Host,Unpaid
Alya Ramadan,2014-06-01,Room to Read Yoga Fundraiser,Host,Unpaid
Gloria Macarenko,2014-06-01,Gordon Smith Foundation Luncheon & Art Auction,Host,Unpaid
Doug Dirks,2014-06-01,Canadian College of Health Leaders Awards,Host,Paid
Margaret Gallagher,2014-06-01,Asian Heritage Month Society Recognition Gala,Host,Unpaid
Miyoung Lee,2014-06-01,Leo Awards,Presenter,Unpaid
Rita Celli,2014-06-01,Cornerstone Annual Garden Party,Host,Unpaid
Lucy van Oldenbarneveld,2014-06-01,Aga Khan Foundation World Partnership Walk,Host,Unpaid
Wendy Bergfeldt,2014-06-01,Wendie Muise Foundation Concert,Host,Unpaid
Yvonne Colbert,2014-05-31,MADD - Atlantic Regional Canada Conference,Moderator,Unpaid
Peter Mansbridge,2014-05-31,Stratford Festival Forum: Calgary Mayor Naheed Nenshi,Host,Unpaid
Marcia Williams,2014-05-31,College-Montrose Children’s Place Anniversary Fundraising Celebration,Host,Unpaid
Craig Norris,2014-05-31,Caribbean Dreams Concert,Host,Unpaid
Bruce Rainnie,2014-05-31,Book Launch - Author Wade MacLauchlan - biography of Alex B. Campbell,Host,Unpaid
Tony Doucette,2014-05-30,News Conference to Announce Inductees,Host,Unpaid
Stephanie Domet,2014-05-30,Pier 21: Evening with Joseph Boyden,Host,Unpaid
Wendy Mesley,2014-05-29,Turnaround Management Spring Gala: An Evening Benefitting Street Haven at the Crossroads,Host,Paid
Harry Forestell,2014-05-29,Frederiction Community Forum,Host,Unpaid
Evan Solomon,2014-05-29,"Human Resources Professionals Association, Annual Business Meeting",Host,Paid
Amanda Lang,2014-05-29,Manulife Asset Management Seminar,Moderator,Paid
Sean Kavanagh,2014-05-28,Association of Fundraising Professionals - Kaizen Conference: Advancing Philanthropy Across Generations Awards Luncheon,Host,Unpaid
Matt Galloway,2014-05-28,Food on Film - TIFF Series (4 of 6),Host,Unpaid
Mark Connolly,2014-05-28,Canadian Public Relations Society National Awards Gala,Host,Paid
Lucy van Oldenbarneveld,2014-05-28,Nobel’s Women’s Initiative,Moderator,Unpaid
Jillian Taylor,2014-05-28,Promoting Aboriginal Student Success (PASS) Luncheon,Speech,Unpaid
Bruce Rainnie,2014-05-27,Financial Management Institute of Canada - National Conference,Speech,Unpaid
Shane Foxman,2014-05-26,Richmond Jewish Dayschool Fundraiser,Host,Unpaid
Margaret Gallagher,2014-05-24,Nikkei National Museum and Heritage Centre Art Auction,Host,Unpaid
Stephen Quinn,2014-05-24,News Photographers Association of Canada - National Picture of the Year Gala,Host,Unpaid
Leisha Grebinski,2014-05-24,Saskatchewan Marathon,Host,Unpaid
Farah Singh,2014-05-24,Saskatchewan Marathon,Host,Unpaid
Doug Dirks,2014-05-24,Luge Association’s Annual Celebration of Athletes,Host,Unpaid
Don Connolly,2014-05-23,Dalhousie Unversity Department of Indistrial Engineering Designing Productivity Conference,Host,Unpaid
Miyoung Lee,2014-05-23,UBC Alumni Weekend,Speech,Unpaid
Sue Smith,2014-05-23,McGill University Palliative Care Lecture,Host,Unpaid
Adrian Harewood,2014-05-23,Jamaican Self-Help (Ottawa Committee) Fundraiser,Host,Unpaid
Ryan Snoddon,2014-05-22,Kenny's Pond Retirement Centre Lunch,Appearance,Unpaid
Waub Rice,2014-05-22,CMHC Aboriginal Awareness Week,Speech,Unpaid
Rick Hughes,2014-05-22,Hamilton Media Advisory Council Story Meeting,Host,Unpaid
Suhanna Meharchand,2014-05-22,Haliburton Scouts Canada Awards Breakfast,Host,Unpaid
Stephen Quinn,2014-05-22,JABC Business Laureates Gala - Hall of Fame induction night,Host,Unpaid
Anne-Marie Mediwake,2014-05-22,34th YWCA Toronto Women of Distinction Awards,Host,Unpaid
Bruce Rainnie,2014-05-22,Junior Achievement of PEI - Business Hall of Fame Induction Night,Host,Unpaid
Wendy Mesley,2014-05-21,Dixon House Fundraiser,Host,Unpaid
Matt Rainnie,2014-05-21,Atlantic Book Awards,Host,Unpaid
Janet Stewart,2014-05-21,Winnipeg Art Gallery Fashion Show,Host,Unpaid
Evan Solomon,2014-05-20,Ottawa Police Services Community event,Speech,Unpaid
John Sauder,2014-05-17,John Taylor Collegiate 50th anniversary Reunion,Host,Unpaid
Stephanie Domet,2014-05-16,National Youth Choir of Canada Performance,Host,Unpaid
Kathryn Gretsinger,2014-05-16,International Day Against Homophobia Breakfast,Host,Unpaid
Peter Mansbridge,2014-05-15,Canadian Business Hall of Fame Induction Ceremony,Host,Paid
Shane Foxman,2014-05-15,North Vancouver Chamber of Commerce Governor's Gala,Host,Unpaid
Meagan Fiddler,2014-05-15,Vision Quest Conference,Host,Unpaid
Marcy Markusa,2014-05-15,Wolseley Family Place Golden Apron Gala,Host,Unpaid
Kim Trynacity,2014-05-15,Spero Gala ACT Alberta,Host,Unpaid
Cecil Haire,2014-05-15,Hazlewood Elementary School - Literacy Day,Speech,Unpaid
Anne-Marie Mediwake,2014-05-15,Women’s Executive Network: My Toronto,Speech,Unpaid
Adrian Harewood,2014-05-15,Pinecrest Queensway Community Health Centre,Host,Unpaid
Adam Walsh,2014-05-15,Hazlewood Elementary School - Literacy Day,Speech,Unpaid
Stephen Quinn,2014-05-14,Milton K. Wong Lecture,Host,Unpaid
Matt Kruchak,2014-05-14,International Association of Business Communicators luncheon,Speech,Unpaid
Stephanie Domet,2014-05-14,National Media Arts Prize Gala,Host,Paid
Rick Cluff,2014-05-14,Gert Vorsteher Memorial Awards,Host,Unpaid
Margaret Gallagher,2014-05-14,Canstruction Academy Awards,Host,Unpaid
Joanna Awa,2014-05-14,Nunavut Arctic College Certificate Graduation Ceremony,Host,Unpaid
Wendy Mesley,2014-05-13,29th Canadian Seating and Mobility Conference,Speech,Paid
John Archer,2014-05-13,Forum for Young Albertans Association,Speech,Unpaid
Amanda Lang,2014-05-13,GeoConvention Show Calgary,Speech,Paid
Mark Kelley,2014-05-12,Canadian Mining Institute,Moderator,Paid
Adrian Harewood,2014-05-12,Crime Prevention Ottawa Violence against Women discussion,Moderator,Unpaid
Stephen Quinn,2014-05-10,Canadian Association of Journalists Awards,Host,Unpaid
Kathy Thomlinson,2014-05-10,Canadian Bar Association Conference,Panelist,Unpaid
Farah Singh,2014-05-10,Power Walk Dress for Success,Host,Unpaid
Lucy van Oldenbarneveld,2014-05-10,"Music Monday, Coalition for Music Education",Host,Unpaid
Bruce Rainnie,2014-05-09,Cdn Cancer Society Dinner,Host,Unpaid
Amanda Lang,2014-05-09,Alberta Urban Development Institute,Speech,Paid
Adrienne Arsenault,2014-05-09,Atlantic Journalism Awards,Speech,Unpaid
Duncan McCue,2014-05-09,Canadian Association of Journalists Conference,Speech,Unpaid
Ian Hanomansing,2014-05-09,Inter-Pacific Bar Association Annual Meeting and Conference,Moderator,Paid
Sheila Coles,2014-05-09,Grandmothers for Grandmothers Jabula Fundraising Dinner,Host,Unpaid
Amanda Lang,2014-05-08,Young Presidents Organization,Moderator,Paid
Angela Antle,2014-05-08,Timeraiser Silent Art Auction,Host,Unpaid
Craig Lederhouse,2014-05-08,Timeraiser Silent Art Auction,Host,Unpaid
Dianne Buckner,2014-05-08,BOMA Toronto Celebration of Excellence Night,Host,Paid
